,name,category,artist,popularity,urls
472,Ease Your Mind,disgust,"GRiZ,Ganja White Night",45,https://open.spotify.com/track/0uwXneXFLt47MlgvoQDouq
473,Safe,disgust,Petit Biscuit,38,https://open.spotify.com/track/2Yw2IZdMHoREKVADi92Hka
474,Illusion (feat. Born I),disgust,"Bassnectar,PEEKABOO,Born I",43,https://open.spotify.com/track/1coG30H5gED9tscKZookCC
475,NOSEBLEED,disgust,"PEEKABOO,Eptic",43,https://open.spotify.com/track/6qxOL5Opjw8rVp3xMsR9os
476,Low Dive,disgust,Esseks,53,https://open.spotify.com/track/5H0ZNJqdJOQlkuEZ7HFItU
477,Evil Lair,disgust,PEEKABOO,33,https://open.spotify.com/track/0NGvb6FxuMezq7D104q6GI
478,Mitosis,disgust,"Ganja White Night,PEEKABOO",47,https://open.spotify.com/track/0zOqoAh2thAbmju80p850h
479,POWERMOVE,disgust,"PEEKABOO,ISOxo",36,https://open.spotify.com/track/1ndzPP1VWJvnF7CG5qX2Wx
480,Nut Case,disgust,PEEKABOO,26,https://open.spotify.com/track/6m9bxuTDyinbqkCc747vbw
481,Black Hole,disgust,PEEKABOO,25,https://open.spotify.com/track/4VQK9d4giauCdAN9C8W6nh
482,Marine Iguana,disgust,12th Planet,44,https://open.spotify.com/track/5wVaPZM1qxJUp5pcaVNXII
483,One Two,disgust,Virtual Riot,37,https://open.spotify.com/track/46M3KFt2Aahvebp6O7zTBw
484,Lost It - VIP,disgust,"Virtual Riot,Pearl Andersson",47,https://open.spotify.com/track/1o0xAaXY4nEaPdBGiLZdNb
485,Alive,disgust,"Virtual Riot,Lisa Rowe",27,https://open.spotify.com/track/0SALuANbNVmQzRGV5gNg3G
486,Hooked,disgust,NOTION,66,https://open.spotify.com/track/4v7kKFlEDmpVToHOICsXaM
487,Show Me (VIP),disgust,"Hamdi,Sammy Virji",38,https://open.spotify.com/track/3w49BYdjw2Co5Y8pZf3hkV
488,Sensei,disgust,Datsik,35,https://open.spotify.com/track/3A5y9pEKtVlRUbliLGg1VX
489,Lifeline,disgust,"Kayzo,Black Tiger Sex Machine,Point North",48,https://open.spotify.com/track/2GxBmvhUHMz9nwEcBzpFBK
490,CHOKE (with grandson & Zero 9:36),disgust,"The Warning,grandson,Zero 9:36",57,https://open.spotify.com/track/3AV8nyFN5AgejU5DZI9wKl
491,Terraria,disgust,Exyl,37,https://open.spotify.com/track/56TUesLuozM16kd2dvrkWW
492,Invade,disgust,Papa Khan,4,https://open.spotify.com/track/7k8NSRH7CEf41VvZZAgg30
493,Alpha,disgust,Papa Khan,5,https://open.spotify.com/track/4XZSkpnUWC43JPrzTDNO5h
494,Papa Style,disgust,Papa Khan,7,https://open.spotify.com/track/597AyiWtGaMdyxr349DeKX
495,Meninggal,disgust,Papa Khan,5,https://open.spotify.com/track/7lMDHzZfjbAXJPguzDjfWi
496,FUNKONAUT,disgust,"GRiZ,LSDREAM",52,https://open.spotify.com/track/0fy3MozJBrM858gEIo3Yec
497,Subliminal (Even the Ghosts are Laughing),disgust,"HVDES,CRaymak,AFTERMYFALL",37,https://open.spotify.com/track/6T7ORp4dBOA93elX1NIYOm
498,No Chill,disgust,Control Freak,36,https://open.spotify.com/track/46VgwcEKnjPCcSEsJ5fWY2
499,Birdz (with Smokepurpp),disgust,"Wuki,Smokepurpp",35,https://open.spotify.com/track/0Uhbn8GeomTRkkVAapjM4Z
500,Rich Flex,surprise,"Drake,21 Savage",92,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
501,Just Wanna Rock,surprise,Lil Uzi Vert,91,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d
502,Superhero (Heroes & Villains) [with Future & Chris Brown],surprise,"Metro Boomin,Future,Chris Brown",91,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j
503,Till I Collapse,surprise,"Eminem,Nate Dogg",87,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
504,Doja,surprise,Central Cee,87,https://open.spotify.com/track/3LtpKP5abr2qqjunvjlX5i
505,Jimmy Cooks (feat. 21 Savage),surprise,"Drake,21 Savage",89,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe
506,HUMBLE.,surprise,Kendrick Lamar,86,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
507,Ni**as In Paris,surprise,"JAY-Z,Kanye West",86,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
508,Drip Too Hard (Lil Baby & Gunna),surprise,"Lil Baby,Gunna",85,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
509,Still D.R.E.,surprise,"Dr. Dre,Snoop Dogg",85,https://open.spotify.com/track/503OTo2dSqe7qk76rgsbep
510,Red Ruby Da Sleeze,surprise,Nicki Minaj,85,https://open.spotify.com/track/4ZYAU4A2YBtlNdqOUtc7T2
511,Ric Flair Drip (with Metro Boomin),surprise,"Offset,Metro Boomin",84,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
512,SICKO MODE,surprise,Travis Scott,84,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
513,Godzilla (feat. Juice WRLD),surprise,"Eminem,Juice WRLD",84,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
514,Vegas (From the Original Motion Picture Soundtrack ELVIS),surprise,Doja Cat,84,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF
515,INDUSTRY BABY (feat. Jack Harlow),surprise,"Lil Nas X,Jack Harlow",84,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
